pipeline,task,model,experiment_id,best_epoch,avg_test_accuracy,test_cross_user_loss,test_cross_user_accuracy,test_cross_user_f1_score,test_cross_device_loss,test_cross_device_accuracy,test_cross_device_f1_score,test_cross_env_loss,test_cross_env_accuracy,test_cross_env_f1_score,test_loss,test_accuracy,test_f1_score
supervised,ProximityRecognition,mlp,params_00a579a8,49,0.36095878185965335,4.566654083035967,0.25284485151262837,0.1597910159798428,3.7831917919228846,0.2232365145228216,0.21107399338206306,2.723147871504151,0.2793857058476078,0.22805051732767812,0.8183133626977602,0.6883680555555556,0.6854923257830943
supervised,ProximityRecognition,lstm,params_19448fa3,42,0.37494270820721975,3.347576949262566,0.2917013599777963,0.22976919393399067,3.4379347394610837,0.2616874135546335,0.24722088607546383,3.0196967289001364,0.2528056704075605,0.24015947500609014,0.7934085921280913,0.6935763888888888,0.692407549293395
supervised,ProximityRecognition,resnet18,params_da93e43c,20,0.43446597029816814,2.6494768645356936,0.3205661948376353,0.2808555473921381,3.1090970574078223,0.30345781466113414,0.2938872023888878,2.797952382631129,0.32043709391612524,0.3055833710935544,0.5039865204857455,0.7934027777777778,0.7915137314471181
supervised,ProximityRecognition,transformer,params_b0509362,79,0.3617529363956308,2.6139208065811674,0.28892589508742716,0.2257876332696024,2.4502020307596295,0.31092669432918396,0.2557706389299323,2.391726780416553,0.325457767277023,0.2727847270980144,1.0384727244575818,0.5217013888888888,0.49890000628625825
supervised,ProximityRecognition,vit,params_2afdb4f9,83,0.4266988407959249,3.889441271507691,0.2908687205106855,0.20360912426901517,3.478432293978093,0.3380359612724758,0.3226540593176544,3.668489806939354,0.30271707028942707,0.2830365441003346,0.6636597162836956,0.7751736111111112,0.7758301039162991
supervised,ProximityRecognition,patchtst,params_672c4eb6,76,0.41187471678600485,4.526925375659764,0.2867055231751318,0.2327843917955707,3.9664365730757205,0.32752420470262794,0.3189105296315914,4.288072913786373,0.271116361488482,0.2636971567176113,0.807985833276891,0.7621527777777778,0.7615095069736021
supervised,ProximityRecognition,timesformer1d,params_a360a049,87,0.4149942219189101,4.056734030621704,0.3041909519844574,0.23515104411083987,4.32722187758234,0.2556016597510373,0.24972026161871863,3.7751096309428376,0.33195510927347904,0.3213950388289071,0.8902467042207718,0.7682291666666666,0.7674485716358723
supervised,HumanIdentification,mlp,params_a8fcb0c0,69,0.39113184553181446,28.44560525657533,0.0,0.0,9.687303443042165,0.3695712309820194,0.3422899988537837,7.298845468221559,0.19669226225634967,0.32872655478775914,0.005228053995859911,0.9982638888888888,0.9982638888888888
supervised,HumanIdentification,lstm,params_96f00d6b,97,0.43137769647760404,15.774571257566631,0.0,0.0,5.5462247038067005,0.5012448132780083,0.4567816614166016,8.603593486163565,0.22947430596574128,0.37328849387460966,0.030179315610780577,0.9947916666666666,0.9947885246972636
supervised,HumanIdentification,resnet18,params_fa1a6a7d,26,0.3841782954108965,10.627791092655839,0.0,0.0,5.538479926669004,0.265283540802213,0.2249426025445562,5.296419319718178,0.2722976963969285,0.42804085422469823,0.008668122945522327,0.9991319444444444,0.9991318278448481
supervised,HumanIdentification,transformer,params_5901f7b8,96,0.4204523982266224,16.05805298834088,0.0,0.0,8.148857136858549,0.35159059474412174,0.30750550060665643,7.733365298805909,0.33195510927347904,0.49844789356984487,0.005810660418062873,0.9982638888888888,0.9982668837846281
supervised,HumanIdentification,vit,params_8376b818,67,0.42536798223698347,11.14816113058276,0.0,0.0,6.0321714057751965,0.366804979253112,0.3554714391529795,6.008846984332014,0.3372711163614885,0.5044169611307421,0.01782317924092543,0.9973958333333334,0.9973922443502848
supervised,HumanIdentification,patchtst,params_6102ffcc,59,0.3371510560827378,11.514700187367596,0.0,0.0,7.849833283039392,0.20387275242047026,0.1719375552494297,8.68959713313119,0.14559952746603663,0.25418922402681104,0.006926530290507394,0.9991319444444444,0.9991318278448481
supervised,HumanIdentification,timesformer1d,params_bf0441f6,68,0.400278782903023,11.753795427909468,0.0,0.0,6.891998083443049,0.34439834024896265,0.2926768611306719,8.382007711794195,0.26018901358535146,0.4129364893367706,0.03322686419697776,0.9965277777777778,0.9965148429289415
